CustomerID,Gender,Age,SubscriptionType,MonthlySpend,TotalWatchTime,ComplaintCount,DaysSinceLastLogin,Churn,AvgSessionDuration,NumDevicesUsed,ContentPreferenceScore,ActiveDaysLastMonth,BingeWatchRatio,SkippedContentCount,DiscountReceived,LoyaltyScore,PlatformType,AdInteractionCount,ReferredFriendsCount,SocialMediaMentions
1,Male,68,Basic,11.35,27,2,57,0,208.32,3,33.0,5,5.4,3,3.16,9.85,Mobile,18.0,2,9
2,Female,57,Standard,30.87,15,0,48,1,289.54,1,62.0,26,0.58,9,5.73,8.29,TV,5.0,0,18
3,Male,24,Basic,32.16,0,1,34,1,194.16,4,,9,0.0,2,18.09,-1.7723880535957246,Mobile,33.0,1,16
4,Male,49,Standard,35.91,21,0,35,0,245.6,2,90.0,2,10.5,4,19.78,2.38,Mobile,10.0,8,16
5,Male,65,Standard,22.71,0,2,4,0,271.02,1,42.0,15,,12,15.41,4.37,Mobile,2.0,4,8
6,Female,36,Basic,39.83,30,1,32,0,215.87,1,88.0,20,1.5,19,4.25,4.42,Mobile,11.0,8,17
7,Male,23,Premium,48.85,21,1,56,0,199.65,4,92.0,21,1.0,4,18.17,9.53,TV,32.0,8,16
8,Male,37,Premium,86.0,33,0,23,0,10.3,1,23.0,8,4.12,2,3.36,3.01,TV,,6,5
9,Male,44,Basic,36.64,11,3,33,0,158.07,3,16.0,8,1.38,15,17.5,9.7,TV,39.0,8,8
10,Female,60,Standard,46.78,22,2,36,0,143.42,4,43.0,2,11.0,6,7.66,0.33,Web,,1,12
11,Male,54,Basic,35.88,27,0,24,0,159.2,4,65.0,28,0.96,8,0.96,9.04,Mobile,32.0,9,17
12,Male,65,Standard,35.65,49,2,50,0,132.58,1,60.0,22,2.23,1,12.24,6.37,Mobile,41.0,6,18
13,Male,24,Premium,15.07,11,1,36,0,272.43,2,39.0,29,0.38,1,7.39,4.1,Mobile,8.0,8,9
14,Male,22,Basic,29.08,26,1,24,0,267.26,2,79.0,8,,17,0.38,9.9,Web,40.0,4,14
15,Female,28,Premium,30.31,22,1,21,0,42.08,2,2.0,11,2.0,12,3.01,9.98,Mobile,29.0,8,16
16,Male,32,Basic,36.51,0,2,44,1,162.2,2,22.0,2,0.0,5,9.12,4.2,Web,,7,4
17,Female,20,Standard,49.86,42,1,4,0,288.07,1,6.0,25,1.68,3,13.05,1.93,Mobile,9.0,6,17
18,Female,22,Standard,6.51,1,3,7,0,181.61,3,87.0,4,0.25,1,0.66,4.57,Web,39.0,9,4
19,Female,40,Basic,7.94,43,1,52,0,241.49,3,55.0,29,1.48,5,10.42,8.33,Web,17.0,9,3
20,Male,54,Basic,8.51,30,1,40,0,115.14,4,71.0,0,30.0,12,0.94,7.04,Mobile,41.0,7,4
21,Female,26,Premium,38.43,1,2,46,0,116.29,3,,8,0.12,0,18.05,0.59,Web,16.0,1,4
22,Male,32,Standard,11.14,48,0,26,1,101.08,2,84.0,25,1.92,0,14.14,2.23,Web,27.0,8,12
23,Female,20,Basic,33.01,24,1,34,0,11.44,4,80.0,16,1.5,1,1.68,4.66,Mobile,6.0,3,7
24,Female,46,Standard,19.61,37,1,0,1,277.83,2,26.0,3,12.33,16,10.15,9.58,Mobile,25.0,0,19
25,Female,23,Basic,25.58,47,1,19,0,108.14,4,42.0,13,3.62,13,14.7,6.17,Web,,3,16
26,Female,34,Basic,14.7,18,1,6,0,113.29,4,75.0,19,,19,5.76,0.51,Mobile,2.0,3,1
27,Female,43,Standard,43.97,27,1,44,0,229.07,4,,23,1.17,8,3.76,3.84,TV,47.0,3,18
28,Female,38,Basic,31.38,5,1,2,1,160.43,1,53.0,4,1.25,19,13.51,9.07,Mobile,32.0,5,7
29,Female,25,Premium,47.51,38,2,41,0,111.8,2,38.0,11,3.45,11,15.58,5.06,Mobile,7.0,0,14
30,Female,38,Standard,30.86,18,0,55,0,265.67,1,,12,1.5,4,8.02,0.97,TV,32.0,2,9
31,Male,28,Premium,10.58,16,0,49,1,248.49,1,41.0,12,1.33,5,4.81,5.98,Web,38.0,9,14
32,Male,55,Standard,12.69,5,0,47,0,293.16,4,,18,0.28,5,18.84,6.77,Web,,7,14
33,Female,25,Premium,49.51,14,1,8,0,194.1,2,41.0,16,,16,10.73,7.53,Web,28.0,8,18
34,Female,59,Standard,37.65,21,1,46,0,208.58,3,99.0,16,1.31,14,9.8,3.36,Mobile,7.0,7,8
35,Female,41,Standard,7.22,40,1,13,1,100.73,2,48.0,19,2.11,18,14.61,7.01,Web,36.0,0,18
36,Male,52,Premium,36.67,33,0,18,0,34.38,4,85.0,6,,17,17.92,3.2,Mobile,23.0,5,4
37,Female,31,Standard,23.55,4,3,26,0,36.25,4,14.0,14,0.29,19,6.11,5.2,Mobile,13.0,4,2
